Location,BHK,Furnishing,Sq.ft,Old(years),Floor,Price
Bommanahalli,3,0,1744,1,2,22000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,3,1,1250,1,1,20000
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,2,0,950,5,1,14000
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,3,0,1744,1,2,22000
Bommanahalli,3,0,1375,5,3,19000
Bommanahalli,2,1,767,1,3,16000
Bommanahalli,2,1,1089,5,2,15500
Bommanahalli,2,0,1400,5,2,22000
Bommanahalli,2,1,1250,1,1,20000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,3,1,1460,1,2,25000
Bommanahalli,2,0,1033,5,0,16500
Bommanahalli,3,0,1500,10,1,22000
Electronic city,2,0,1250,5,3,18000
Electronic city,1,1,500,3,3,10500
Electronic city,3,0,1650,5,4,12500
Electronic city,2,1,1350,1,3,13500
Electronic city,3,1,1800,5,3,17500
Electronic city,2,0,1500,3,3,15500
Electronic city,2,1,1225,7,4,25000
Electronic city,3,1,1500,3,3,18500
Electronic city,3,0,1750,2,2,22000
Electronic city,2,1,1250,3,3,18500
Electronic city,3,1,1650,2,2,17500
Electronic city,3,0,1750,10,5,16050
Electronic city,3,1,1800,2,5,14500
Electronic city,2,0,1150,3,3,13500
Electronic city,3,0,1225,5,4,28000
Electronic city,2,0,1600,5,2,28000
Electronic city,2,1,1600,10,2,23000
Electronic city,3,1,1750,5,3,18000
Electronic city,3,1,1800,7,5,16000
Electronic city,3,0,1850,10,2,21500
Electronic city,2,0,1100,6,5,18050
Electronic city,3,1,1650,4,6,16500
Electronic city,3,1,1750,3,8,17500
Electronic city,2,0,1150,1,4,26500
Electronic city,2,1,750,4,2,19000
Electronic city,3,0,950,5,2,23000
Electronic city,2,1,900,2,3,18000
Electronic city,2,1,875,3,4,16000
Electronic city,2,0,1050,2,6,20000
Electronic city,3,1,950,7,3,27000
Electronic city,2,1,900,3,4,18000
Electronic city,2,1,1200,8,3,15000
Electronic city,2,1,1250,4,3,22500
Electronic city,2,1,750,5,4,22500
Electronic city,2,1,950,4,3,23000
Electronic city,3,0,1650,5,3,14500
Electronic city,2,1,900,7,4,17500
Electronic city,4,0,875,2,2,18000
Electronic city,2,1,1056,3,3,19500
Electronic city,2,1,1200,2,4,16500
Electronic city,2,1,1400,1,4,18000
Electronic city,2,0,1089,1,5,16000
Electronic city,3,0,1300,10,3,15000
Electronic city,2,1,950,1,3,16500
Electronic city,2,0,1089,5,2,18500
Electronic city,2,0,3155,5,2,26500
Electronic city,3,1,950,1,3,28000
Electronic city,2,0,1200,5,2,23500
Electronic city,2,1,750,5,2,21000
Electronic city,3,0,1600,3,2,23000
Electronic city,2,1,950,6,4,14500
Electronic city,2,1,900,6,1,17500
Electronic city,3,0,1050,7,3,19500
Electronic city,3,1,1850,2,3,16500
Electronic city,3,1,950,1,2,18550
Electronic city,2,0,1250,2,5,17500
Electronic city,2,1,1050,6,3,14500
Electronic city,3,1,950,1,3,25000
Electronic city,2,1,1050,5,3,20000
Electronic city,3,0,1700,3,4,18000
Electronic city,2,1,1000,6,2,19000
Electronic city,2,1,1250,6,4,17000
Electronic city,3,0,1050,7,2,20000
Electronic city,3,1,1550,2,4,21000
Electronic city,3,1,1650,1,2,22000
Electronic city,3,0,1450,5,3,25000
Electronic city,2,1,950,6,2,17000
Electronic city,2,0,1200,1,3,18000
Electronic city,3,0,1675,1,2,26000
Electronic city,2,0,960,10,3,11000
Electronic city,3,0,1600,1,2,27000
